is_app_event,visitor_id,id,visit_id,tracking_time,created_at,story_id,user_id
False,22ac4ffa-9ba4-4eb5-a027-48bc4fd67ef2,e855b15a-c0dd-4b5f-a82b-642ce6f32bcb,1ff3c16e-fc20-4319-8720-f64be2079f90,2017-06-29T21:49:49.490028,2017-06-29T21:49:49.492249,18965,
False,22ac4ffa-9ba4-4eb5-a027-48bc4fd67ef2,5a1f4e84-0398-4343-a427-6fe37a12d5fa,1ff3c16e-fc20-4319-8720-f64be2079f90,2017-06-29T21:50:08.757155,2017-06-29T21:50:08.759166,18965,
False,22ac4ffa-9ba4-4eb5-a027-48bc4fd67ef2,76de6153-1cf3-42f3-9760-66640dab3625,1ff3c16e-fc20-4319-8720-f64be2079f90,2017-06-29T21:50:14.990401,2017-06-29T21:50:14.993954,18965,
False,22ac4ffa-9ba4-4eb5-a027-48bc4fd67ef2,cbde3a3f-61ad-4e66-a700-378ef8abf0e7,1ff3c16e-fc20-4319-8720-f64be2079f90,2017-06-29T21:49:57.767483,2017-06-29T21:49:57.770071,18965,
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,0a718513-29f2-4c35-b186-705a1536f8f1,959ad75a-11db-40e0-9d7a-4364f644686f,2015-12-05T11:38:20.184999,2015-12-05T11:38:20.184999,24674,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,066e2d29-9c69-46f9-aab7-987a62e16a1b,d63e6402-9b67-44a6-a8aa-18b2bde545c0,2015-11-24T22:14:37.526000,2015-11-24T22:14:37.526000,42926,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,293a25e0-fb98-40d2-9459-49928642e401,d63e6402-9b67-44a6-a8aa-18b2bde545c0,2015-11-24T22:14:54.053999,2015-11-24T22:14:54.053999,42926,45042
False,ba1c950c-4935-453a-9417-0f41e4781624,b5c31948-22fc-4a0c-8614-4734ded755fe,b9be2c17-36d8-4595-933f-2ce96315c5a4,2015-11-25T00:04:34.687872,2015-11-25T00:04:34.687872,18965,
False,ba1c950c-4935-453a-9417-0f41e4781624,0b9ddc83-f7e8-4720-86d5-dd9261fbe0a3,b9be2c17-36d8-4595-933f-2ce96315c5a4,2015-11-25T00:06:13.220628,2015-11-25T00:06:13.220628,18965,
False,ba1c950c-4935-453a-9417-0f41e4781624,a3a52002-75ad-47bb-9cef-e093a94deb2f,b9be2c17-36d8-4595-933f-2ce96315c5a4,2015-11-25T00:07:21.235003,2015-11-25T00:07:21.235003,18965,
False,ba1c950c-4935-453a-9417-0f41e4781624,2c35fa42-df8e-4e9a-bd11-bd90635757b2,b9be2c17-36d8-4595-933f-2ce96315c5a4,2015-11-25T00:08:37.771939,2015-11-25T00:08:37.771939,18965,
False,ba1c950c-4935-453a-9417-0f41e4781624,47223a49-995d-40d1-bdc9-f4f84c715c32,b9be2c17-36d8-4595-933f-2ce96315c5a4,2015-11-25T00:09:29.079787,2015-11-25T00:09:29.079787,18965,
False,d2026c51-6bd7-43dc-9cd8-bcf000cea3c6,03bd3062-59c9-4153-a5a9-9a311ede9c09,a9225c8f-4e0f-4cf7-8a6f-6b844f0e3f97,2015-11-10T02:43:37.211999,2015-11-10T02:43:37.211999,18965,
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,40896f1d-4b77-42b4-8885-5efec2603cd6,ac9e7603-98d8-4c12-bcdf-f43437b9a877,2015-11-25T22:10:00.107000,2015-11-25T22:10:00.107000,44254,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,13dd3d05-f909-452f-9037-92446cfc470a,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T00:59:33.316999,2015-11-28T00:59:33.316999,42881,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,40943da8-bf10-466c-ba3b-f08f2b3877e1,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T00:59:21.078000,2015-11-28T00:59:21.078000,42881,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,cf285498-7ff9-4c5a-bd34-118ebf7e2a75,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T00:58:32.082999,2015-11-28T00:58:32.082999,42881,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,3a2baec3-6ec4-4ebd-b830-e0ab76fccdd7,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:26:03.911000,2015-11-28T01:26:03.911000,43050,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,6b908fd8-834c-4248-bb36-3ed8f1529aac,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:27:48.111999,2015-11-28T01:27:48.111999,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,30d2716e-fc7c-4bbd-86d6-b698b775cb67,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:29:29.112999,2015-11-28T01:29:29.112999,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,57465c8b-d17a-481d-8eb0-05fdb6b8ea4a,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:27:03.405999,2015-11-28T01:27:03.405999,43050,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,c7a96f96-8b3d-4cdd-bfbd-365d124ba3d4,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:28:50.112999,2015-11-28T01:28:50.112999,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,e4068272-4a8d-4394-ad59-e8a67cb73bc6,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:30:57.615999,2015-11-28T01:30:57.615999,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,11bc0775-21ac-48c1-abea-854ba23ca9d2,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:25:14.401999,2015-11-28T01:25:14.401999,43050,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,bf6c65ee-0831-4580-818f-66626ff46e55,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:31:49.615000,2015-11-28T01:31:49.615000,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,88abe717-1ccf-449f-b884-78f786e35ce6,4e8450ea-1d30-43a7-a418-b692d83066cc,2015-11-28T01:32:34.769999,2015-11-28T01:32:34.769999,43051,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,71590298-8c24-42f3-a59a-0fa8bec4c105,b10112eb-8167-4473-87b8-d7b3c3ff443d,2015-11-28T02:23:50.131000,2015-11-28T02:23:50.131000,30936,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,c635ddcb-1f65-47ab-b805-2673373c78a2,b10112eb-8167-4473-87b8-d7b3c3ff443d,2015-11-28T02:29:01.917999,2015-11-28T02:29:01.917999,42711,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,1e283d3a-8b8e-4432-9363-943e1d78e060,f665787b-68a0-41f9-aa32-9badf67cd980,2015-11-29T13:12:56.516000,2015-11-29T13:12:56.516000,42591,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,4627e5a7-2da0-4244-9096-7803c9e2662f,f665787b-68a0-41f9-aa32-9badf67cd980,2015-11-29T13:16:37.336999,2015-11-29T13:16:37.336999,42250,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,178db396-88dc-41f1-9be0-86c3256eb36b,f665787b-68a0-41f9-aa32-9badf67cd980,2015-11-29T13:13:02.016000,2015-11-29T13:13:02.016000,42591,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,d08d8a34-1e6f-4ecf-9b91-7814b72a45b4,f665787b-68a0-41f9-aa32-9badf67cd980,2015-11-29T13:12:37.016000,2015-11-29T13:12:37.016000,42591,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,9750bd1c-4a60-45a7-a381-3c9b52ee34f6,f665787b-68a0-41f9-aa32-9badf67cd980,2015-11-29T14:08:03.525000,2015-11-29T14:08:03.525000,44254,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,e6e32008-37c6-48c4-80f3-c629226fe5e6,95725f4a-52bd-4860-a1ba-0dea3c522a49,2015-11-29T19:25:24.589999,2015-11-29T19:25:24.589999,42711,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,367a7882-f3c7-4383-891e-39e3ab950061,959ad75a-11db-40e0-9d7a-4364f644686f,2015-12-05T11:37:08.194999,2015-12-05T11:37:08.194999,24674,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,a2ad9bb9-61b5-4aae-bcf4-07ed47bb23bb,959ad75a-11db-40e0-9d7a-4364f644686f,2015-12-05T11:37:47.684999,2015-12-05T11:37:47.684999,24674,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,d02b6854-1f14-4a4d-93a4-c981074768db,959ad75a-11db-40e0-9d7a-4364f644686f,2015-12-05T11:38:25.686000,2015-12-05T11:38:25.686000,24674,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,c3a97c65-6594-4b44-bd59-c737b11bff79,959ad75a-11db-40e0-9d7a-4364f644686f,2015-12-05T11:41:27.520999,2015-12-05T11:41:27.520999,46903,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,a9afb927-9b10-4e13-8f6a-52c9d023cf82,d67dc576-9ed2-4404-9b72-bff8c9cbd8b5,2015-12-15T21:30:30.447999,2015-12-15T21:30:30.447999,46345,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,80e5c853-8274-4702-b78a-9491de4497d7,96e01fc9-b998-4d26-bd1e-908dbb71fb86,2015-12-16T19:59:55.108000,2015-12-16T19:59:55.108000,46345,45042
False,0b69e76c-c8f6-408d-a5b5-836a18bb9b52,0b3fbde0-c6b5-4bc8-8746-b542fc77c221,96e01fc9-b998-4d26-bd1e-908dbb71fb86,2015-12-16T20:00:21.605000,2015-12-16T20:00:21.605000,46345,45042
False,4fb37693-b8a0-4876-b8cd-ac87de8a9350,2b773ac4-f4b3-4ba0-9aba-f1f9e19ff396,88cc663d-2b96-40b1-b6cb-53bc8732636a,2015-12-24T23:35:39.551000,2015-12-24T23:35:39.551000,42821,45042
